,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,121,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,0,0,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
1,OLY,7.0,09:44,1,122,"SPANOULIS, VASSILIS",PJUO      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,44,2.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
2,ULK,16.0,09:31,1,123,"SLOUKAS, KOSTAS",P001926   ,Turnover (1),TO,2.0,0.0,Fenerbahce Dogus Istanbul,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,31,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
3,OLY,16.0,09:09,1,124,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,9,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
4,OLY,11.0,09:08,1,125,"MILUTINOV, NIKOLA",P003941   ,Off Rebound (1),O,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
5,OLY,11.0,09:08,1,126,"MILUTINOV, NIKOLA",P003941   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
6,OLY,16.0,09:08,1,127,"PAPANIKOLAOU, KOSTAS",P001255   ,Off Rebound (1),O,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
7,ULK,1.0,09:08,1,128,"THOMPSON, JASON",P007998   ,Foul (1),CM,2.0,0.0,Fenerbahce Dogus Istanbul,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
8,OLY,16.0,09:08,1,129,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul Drawn (1),RV,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,0.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
9,OLY,16.0,09:08,1,130,"PAPANIKOLAOU, KOSTAS",P001255   ,Free Throw In (1/1 -  1 pt),FTM,3.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Fenerbahce Dogus Istanbul,ULK,9,8,1.0,0.0,"SPANOULIS, VASSILIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","MANTZARIS, VANGELIS","SLOUKAS, KOSTAS","THOMPSON, JASON","DATOME, LUIGI","WANAMAKER, BRAD","VESELY, JAN"
