,CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
0,   ,,,1,60,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,Brose Bamberg,BAM,0,0,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
1,BAM,7.0,09:43,1,61,"NIKOLIC, ALEKSEJ",P003703   ,Foul (1),CM,0.0,0.0,Brose Bamberg,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,43,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
2,MAL,16.0,09:43,1,62,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (1),RV,0.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,43,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
3,MAL,16.0,09:33,1,63,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,33,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
4,MAL,40.0,09:31,1,64,"AUGUSTINE, JAMES",P001438   ,Off Rebound (1),O,0.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,31,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
5,MAL,40.0,09:30,1,65,"AUGUSTINE, JAMES",P001438   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,30,2.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
6,BAM,21.0,09:16,1,66,"RUBIT, AUGUSTINE",P006477   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Brose Bamberg,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,16,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
7,MAL,43.0,09:13,1,67,"SUAREZ, CARLOS",PJJS      ,Def Rebound (1),D,2.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,13,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
8,MAL,3.0,09:10,1,68,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,10,2.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
9,MAL,40.0,09:10,1,69,"AUGUSTINE, JAMES",P001438   ,Assist (1),AS,4.0,0.0,Unicaja Malaga,Unicaja Malaga,MAL,Brose Bamberg,BAM,9,10,0.0,0.0,"NEDOVIC, NEMANJA","AUGUSTINE, JAMES","SUAREZ, CARLOS","MCCALLUM, RAY","DIEZ, DANIEL","NIKOLIC, ALEKSEJ","RUBIT, AUGUSTINE","HACKETT, DANIEL","HICKMAN, RICKY","MITROVIC, LUKA"
